,index,rank,playerplayerid,playershortname,receptions,receivingyards,snapshare,averagetargetdistance,airyards,airyardspergame,airyardsperreception,redzonetargets,endzonetargets,targetaccuracy,targetshare,fantasypointspertarget,year,position,name,team,played,receivingtargets,receptionpercentage,receivingtouchdowns,receivinglong,receivingyardspertarget,receivingyardsperreception,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,fumbles,fumbleslost,fantasypointspergame,fantasypoints
99,99,9,16263,A. Robinson II,102,1250,84.42,9.86,1490.0,93.12,14.6,19,14,417.0,25.37,1.74,2020,WR,Allen Robinson II,CHI,16,151,67.5,6,42,8.3,12.3,1,-1,-1.0,0,0,0,10.1,160.9
100,100,13,14871,R. Woods,90,936,88.75,7.15,923.0,57.68,10.3,12,5,369.0,22.95,1.9,2020,WR,Robert Woods,LAR,16,129,69.8,6,56,7.3,10.4,24,155,6.5,2,2,1,9.7,155.1
101,101,23,21752,C. Claypool,62,873,60.83,13.28,1448.0,90.5,23.4,13,10,312.0,16.71,1.97,2020,WR,Chase Claypool,PIT,16,109,56.9,9,84,8.0,14.1,10,16,1.6,2,3,1,9.6,152.9
102,102,18,13870,M. Jones Jr.,76,978,89.56,12.15,1398.0,87.37,18.4,14,11,337.0,20.57,1.98,2020,WR,Marvin Jones Jr.,DET,16,115,66.1,9,43,8.5,12.9,0,0,0.0,0,0,0,9.5,151.8
103,103,17,16568,B. Cooks,81,1150,88.74,11.37,1354.0,90.26,16.7,11,8,356.0,23.94,1.95,2020,WR,Brandin Cooks,HOU,15,119,68.1,6,57,9.7,14.2,0,0,0.0,0,0,0,10.1,151.0
104,104,25,19844,D. Moore,66,1193,86.54,13.34,1575.0,105.0,23.9,8,9,325.0,24.58,1.79,2020,WR,DJ Moore,CAR,15,118,55.9,4,74,10.1,18.1,2,22,11.0,0,0,0,9.7,145.5
105,105,14,15076,K. Allen,100,992,81.01,7.36,1082.0,77.28,10.8,16,11,436.0,27.12,1.67,2020,WR,Keenan Allen,LAC,14,147,68.0,8,28,6.7,9.9,1,-1,-1.0,0,3,2,10.4,145.1
106,106,15,16765,A. Cooper,92,1114,84.26,8.73,1136.0,71.0,12.3,15,11,379.0,21.13,1.82,2020,WR,Amari Cooper,DAL,16,130,70.8,5,69,8.6,12.1,6,14,2.3,0,0,0,9.0,144.8
107,107,22,21679,C. Lamb,74,935,66.27,8.9,988.0,61.75,13.4,11,6,322.0,18.04,1.96,2020,WR,CeeDee Lamb,DAL,16,111,66.7,5,52,8.4,12.6,10,82,8.2,1,2,1,8.6,137.7
108,108,34,16781,N. Agholor,48,896,67.73,15.52,1273.0,79.56,26.5,12,11,233.0,16.2,2.26,2020,WR,Nelson Agholor,LV,16,82,58.5,8,85,10.9,18.7,0,0,0.0,0,0,0,8.6,137.6
