,index,rank,playerplayerid,playershortname,playerageexact,rushingyards,yardspercarry,rushingtouchdowns,targets,receptions,receivingyards,snapshare,opportunityshare,shotguncarryrate,shotgunyardspercarry,undercentercarryrate,undercenteryardspercarry,averagedefendersinthebox,stackedfrontcarryrate,basefrontcarryrate,lightfrontcarryrate,year,position,name,team,played,rushingattempts,receivingtouchdowns,fumbles,fumbleslost,fantasypointspergame,fantasypoints
95,95,91,21773,E. Benjamin,23.2,118,3.47,1,7,6,42,16.16,16.26,94.11,1.0,5.88,1.0,6.05,8.82,11.76,79.41,2021,RB,Eno Benjamin,ARI,9,34,0,0,0,2.4,22.0
96,96,107,22555,J. Jefferson,22.2,74,4.93,2,5,4,23,7.54,9.43,20.0,1.0,80.0,1.0,6.26,6.66,26.66,66.66,2021,RB,Jermar Jefferson,DET,7,15,0,0,0,3.1,21.7
97,97,91,20191,G. Igwebuike,27.8,118,6.55,1,10,7,60,8.9,5.37,27.77,1.0,72.22,1.0,6.16,0.0,33.33,66.66,2021,RB,Godwin Igwebuike,DET,17,18,0,2,2,1.2,19.8
98,98,89,17053,M. Brown,29.1,125,3.78,1,5,3,10,26.81,22.22,48.48,1.0,51.51,1.0,6.36,15.15,33.33,51.51,2021,RB,Malcolm Brown,MIA,7,33,0,0,0,2.8,19.5
99,99,116,16056,J. White,30.4,38,3.8,1,14,12,94,29.44,26.66,60.0,1.0,40.0,1.0,5.7,10.0,20.0,70.0,2021,RB,James White,NE,3,10,0,0,0,6.4,19.2
100,100,85,21774,T. Jones Jr.,24.6,142,2.62,0,8,5,29,16.11,19.74,18.51,1.0,81.48,1.0,6.62,7.4,51.85,40.74,2021,RB,Tony Jones Jr.,NO,11,54,0,0,0,1.6,17.1
101,101,96,21514,A. Walter,25.9,101,3.88,1,3,2,9,23.17,27.35,53.84,1.0,46.15,1.0,6.65,0.0,69.23,30.76,2021,RB,Austin Walter,NYJ,4,26,0,0,0,4.2,17.0
102,102,105,18073,J. Williams,28.4,79,4.64,1,6,4,28,18.3,16.31,64.7,1.0,35.29,1.0,6.64,17.64,29.41,52.94,2021,RB,Jonathan Williams,WAS,5,17,0,0,0,3.3,16.7
103,103,93,20900,Q. Ollison,25.8,105,5.0,1,6,4,12,16.53,15.0,4.76,1.0,95.23,1.0,6.95,9.52,76.19,14.28,2021,RB,Qadree Ollison,ATL,7,21,0,1,1,2.2,15.7
104,104,102,21823,P. Taylor,24.2,89,3.86,1,2,2,3,11.46,11.06,30.43,1.0,69.56,1.0,6.47,17.39,21.73,60.86,2021,RB,Patrick Taylor,GB,8,23,0,0,0,1.9,15.2
105,105,103,21777,L. Rountree III,24.4,87,2.41,1,2,1,-1,12.07,11.8,25.0,1.0,63.88,1.0,6.5,19.44,41.66,36.11,2021,RB,Larry Rountree III,LAC,12,36,0,0,0,1.2,14.6
106,106,117,21837,J. Taylor,24.5,37,1.94,2,4,4,8,15.87,16.78,31.57,1.0,68.42,1.0,6.05,5.26,10.52,84.21,2021,RB,J.J. Taylor,NE,5,19,0,1,1,2.9,14.5
107,107,94,18996,W. Gallman,27.8,104,3.71,0,3,1,21,9.39,13.02,7.14,1.0,92.85,1.0,6.42,17.85,53.57,21.42,2021,RB,Wayne Gallman,MIN,8,28,0,0,0,1.6,12.5
108,108,95,21776,J. Kelley,24.6,102,3.09,0,6,5,38,18.08,14.07,33.33,1.0,66.66,1.0,6.84,21.21,33.33,45.45,2021,RB,Joshua Kelley,LAC,10,33,0,1,1,1.2,12.0
109,109,115,18690,J. Richard,28.7,40,4.44,0,14,12,72,15.75,7.79,44.44,1.0,55.55,1.0,6.11,11.11,22.22,66.66,2021,RB,Jalen Richard,LV,10,9,0,0,0,1.1,11.2
110,110,100,20950,B. Snell Jr.,24.4,98,2.72,0,4,2,13,8.81,8.62,36.11,1.0,58.33,1.0,6.11,8.33,27.77,58.33,2021,RB,Benny Snell Jr.,PIT,17,36,0,0,0,0.7,11.1
111,111,96,18998,M. Mack,26.3,101,3.6,0,5,2,8,14.55,18.43,35.71,1.0,64.28,1.0,5.57,7.14,25.0,64.28,2021,RB,Marlon Mack,IND,6,28,0,0,0,1.8,10.9
112,112,104,20743,R. Armstead,25.7,80,5.33,0,4,3,16,29.09,38.77,20.0,1.0,80.0,1.0,5.93,0.0,33.33,66.66,2021,RB,Ryquell Armstead,JAX,2,15,0,0,0,4.8,9.6
113,113,121,22674,D. Jackson,23.4,31,2.38,1,0,0,0,2.96,4.85,30.76,1.0,69.23,1.0,6.38,0.0,61.53,38.46,2021,RB,Deon Jackson,IND,8,13,0,0,0,1.1,9.1
114,114,123,22650,J. Hardy,24.5,29,7.25,1,0,0,0,2.45,3.8,25.0,1.0,75.0,1.0,6.75,25.0,25.0,50.0,2021,RB,JaQuan Hardy,DAL,3,4,0,0,0,3.0,8.9
115,115,110,22676,K. Nwangwu,24.4,61,4.69,0,5,4,9,4.06,5.88,38.46,1.0,61.53,1.0,6.76,7.69,61.53,30.76,2021,RB,Kene Nwangwu,MIN,11,13,0,0,0,0.6,7.0
